InventoryId,ScheduleId,CarrierCode,Dep_Key,FlightNumber,AircraftType,DepartureDate,DepartureDatetime,ArrivalDatetime,DepartureAirport,ArrivalAirport,TotalCapacity,TotalInventory,BookedInventory,Oversold,AvailableInventory,FirstClass,BusinessClass,PremiumEconomyClass,EconomyClass,FC_TotalInventory,FC_BookedInventory,FC_Oversold,FC_AvailableInventory,BC_TotalInventory,BC_BookedInventory,BC_Oversold,BC_AvailableInventory,PC_TotalInventory,PC_BookedInventory,PC_Oversold,PC_AvailableInventory,EC_TotalInventory,EC_BookedInventory,EC_Oversold,EC_AvailableInventory,FC_CD,BC_CD,PC_CD,EC_CD,canCancel,Status
INV-ZZ-6984919,SCH-ZZ-9117133,ZZ,ZZ20240403BLRCCU2504,2504.0,Boeing 777,04/03/2024,2024-04-03 15:35:00,2024-04-03 18:17:00,BLR,CCU,425.0,481,295,-130,186,42,85,127,170,49,30,12,19,96,59,26,37,142,87,40,55,192,118,52,74,"{'F': 13, 'P': 6}","{'C': 23, 'J': 7, 'Z': 7}","{'Q': 27, 'R': 16, 'S': 0, 'T': 0, 'H': 12, 'M': 0}","{'Y': 10, 'A': 12, 'B': 6, 'D': 2, 'E': 0, 'G': 12, 'I': 2, 'K': 9, 'L': 2, 'N': 3, 'O': 2, 'U': 9, 'V': 3, 'W': 2, 'X': 0}",TRUE,Cancelled
INV-ZZ-9589851,SCH-ZZ-2729891,ZZ,ZZ20240404GOIMAA4516,4516.0,Airbus A320-200,04/04/2024,2024-04-04 06:48:00,2024-04-05 02:04:00,GOI,MAA,150.0,178,112,-38,66,15,30,45,60,17,11,4,6,35,22,8,13,54,34,11,20,66,41,19,25,"{'F': 5, 'P': 1}","{'C': 7, 'J': 5, 'Z': 1}","{'Q': 9, 'R': 5, 'S': 0, 'T': 0, 'H': 6, 'M': 0}","{'Y': 3, 'A': 4, 'B': 0, 'D': 1, 'E': 1, 'G': 3, 'I': 2, 'K': 4, 'L': 2, 'N': 0, 'O': 0, 'U': 2, 'V': 2, 'W': 0, 'X': 1}",FALSE,On Time
INV-ZZ-8199494,SCH-ZZ-9117133,ZZ,ZZ20240404BLRCCU2504,2504.0,Boeing 777,04/04/2024,2024-04-04 15:35:00,2024-04-04 18:17:00,BLR,CCU,425.0,486,305,-120,181,42,85,127,170,47,29,13,18,98,61,24,37,142,89,38,53,201,126,44,75,"{'F': 11, 'P': 7}","{'C': 13, 'J': 16, 'Z': 8}","{'Q': 21, 'R': 12, 'S': 2, 'T': 3, 'H': 12, 'M': 3}","{'Y': 8, 'A': 12, 'B': 1, 'D': 2, 'E': 4, 'G': 8, 'I': 5, 'K': 9, 'L': 2, 'N': 1, 'O': 2, 'U': 7, 'V': 5, 'W': 5, 'X': 4}",FALSE,On Time
INV-ZZ-1103211,SCH-ZZ-6536717,ZZ,ZZ20240405GAUBOM2526,2526.0,Boeing 717,04/05/2024,2024-04-05 15:59:00,2024-04-06 05:45:00,GAU,BOM,100.0,119,69,-31,50,10,20,30,40,11,6,4,5,23,13,7,10,33,19,11,14,45,26,14,19,"{'F': 4, 'P': 1}","{'C': 4, 'J': 2, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 0, 'T': 1, 'H': 3, 'M': 0}","{'Y': 2, 'A': 3, 'B': 0, 'D': 0, 'E': 1, 'G': 3, 'I': 2, 'K': 2, 'L': 1, 'N': 0, 'O': 0, 'U': 3, 'V': 0, 'W': 0, 'X': 2}",TRUE,Cancelled
INV-ZZ-2384101,SCH-ZZ-7589545,ZZ,ZZ20240406MAATRV2008,2008.0,Boeing 787,04/06/2024,2024-04-06 02:25:00,2024-04-06 21:44:00,MAA,TRV,270.0,322,196,-74,126,27,54,81,108,31,19,8,12,62,38,16,24,94,57,24,37,120,73,35,47,"{'F': 10, 'P': 2}","{'C': 15, 'J': 6, 'Z': 3}","{'Q': 22, 'R': 8, 'S': 0, 'T': 0, 'H': 7, 'M': 0}","{'Y': 4, 'A': 5, 'B': 1, 'D': 3, 'E': 2, 'G': 5, 'I': 2, 'K': 6, 'L': 3, 'N': 2, 'O': 3, 'U': 4, 'V': 2, 'W': 2, 'X': 3}",TRUE,Cancelled
INV-ZZ-2109580,SCH-ZZ-3820040,ZZ,ZZ20240406MAATRV2047,2047.0,Boeing 767,04/06/2024,2024-04-06 07:41:00,2024-04-07 02:50:00,MAA,TRV,278.0,327,189,-89,138,27,55,83,111,32,18,9,14,62,36,19,26,99,57,26,42,132,76,35,56,"{'F': 7, 'P': 7}","{'C': 14, 'J': 9, 'Z': 3}","{'Q': 18, 'R': 12, 'S': 0, 'T': 1, 'H': 10, 'M': 1}","{'Y': 6, 'A': 7, 'B': 4, 'D': 3, 'E': 2, 'G': 6, 'I': 2, 'K': 7, 'L': 0, 'N': 4, 'O': 3, 'U': 8, 'V': 2, 'W': 2, 'X': 0}",TRUE,Cancelled
INV-ZZ-6903609,SCH-ZZ-7068651,ZZ,ZZ20240406CCUHYD3723,3723.0,Boeing 787,04/06/2024,2024-04-06 16:19:00,2024-04-07 00:54:00,CCU,HYD,270.0,303,190,-80,113,27,54,81,108,32,20,7,12,61,38,16,23,92,58,23,34,120,75,33,45,"{'F': 10, 'P': 2}","{'C': 9, 'J': 5, 'Z': 9}","{'Q': 13, 'R': 11, 'S': 3, 'T': 0, 'H': 7, 'M': 0}","{'Y': 6, 'A': 5, 'B': 3, 'D': 4, 'E': 3, 'G': 4, 'I': 1, 'K': 5, 'L': 1, 'N': 2, 'O': 2, 'U': 5, 'V': 0, 'W': 3, 'X': 1}",TRUE,On Time
INV-ZZ-3174758,SCH-ZZ-2312688,ZZ,ZZ20240406MAATRV4122,4122.0,Boeing 787,04/06/2024,2024-04-06 19:54:00,2024-04-07 02:05:00,MAA,TRV,270.0,303,187,-83,116,27,54,81,108,31,19,8,12,63,39,15,24,90,56,25,34,122,75,33,47,"{'F': 8, 'P': 4}","{'C': 9, 'J': 7, 'Z': 8}","{'Q': 13, 'R': 7, 'S': 1, 'T': 1, 'H': 11, 'M': 1}","{'Y': 6, 'A': 8, 'B': 4, 'D': 1, 'E': 2, 'G': 5, 'I': 3, 'K': 8, 'L': 0, 'N': 1, 'O': 2, 'U': 6, 'V': 1, 'W': 0, 'X': 0}",TRUE,Cancelled
INV-ZZ-3417474,SCH-ZZ-7589545,ZZ,ZZ20240407MAATRV2008,2008.0,Boeing 787,04/07/2024,2024-04-07 02:25:00,2024-04-07 21:44:00,MAA,TRV,270.0,298,177,-93,121,27,54,81,108,31,18,9,13,63,37,17,26,94,56,25,38,124,74,34,50,"{'F': 6, 'P': 7}","{'C': 12, 'J': 7, 'Z': 7}","{'Q': 18, 'R': 9, 'S': 5, 'T': 1, 'H': 4, 'M': 1}","{'Y': 7, 'A': 8, 'B': 0, 'D': 0, 'E': 2, 'G': 6, 'I': 2, 'K': 7, 'L': 0, 'N': 3, 'O': 3, 'U': 6, 'V': 2, 'W': 2, 'X': 2}",TRUE,Cancelled
INV-ZZ-7038387,SCH-ZZ-3750409,ZZ,ZZ20240407DELBOM4516,4516.0,Boeing 767,04/07/2024,2024-04-07 05:29:00,2024-04-07 15:51:00,DEL,BOM,278.0,324,205,-73,119,27,55,83,111,31,20,7,11,61,39,16,22,94,59,24,35,124,78,33,46,"{'F': 8, 'P': 3}","{'C': 15, 'J': 5, 'Z': 2}","{'Q': 11, 'R': 11, 'S': 4, 'T': 0, 'H': 9, 'M': 0}","{'Y': 4, 'A': 7, 'B': 1, 'D': 0, 'E': 1, 'G': 8, 'I': 0, 'K': 8, 'L': 2, 'N': 3, 'O': 2, 'U': 4, 'V': 1, 'W': 2, 'X': 3}",FALSE,On Time
