RECLOC,COS_CD,SEG_SEQ,PAX_CNT,ORIG_CD,DEST_CD,DEP_DTML,ARR_DTML,INV_ID,DEP_DTMZ,ARR_DTMZ
PNR00001,F,1,4,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00002,F,1,4,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00003,F,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00004,F,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00005,P,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00006,P,1,4,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00007,P,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00008,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00009,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00010,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00011,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00012,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00013,C,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00014,J,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00015,J,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00016,J,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00017,J,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00018,J,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00019,J,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00020,Z,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00021,Z,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00022,Z,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00023,Z,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00024,Z,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00025,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00026,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
