InventoryId,ScheduleId,FlightNumber,AircraftType,DepartureAirport,ArrivalAirport,TotalCapacity,TotalInventory,BookedInventory,Oversold,AvailableInventory,FirstClass,BusinessClass,PremiumEconomyClass,EconomyClass,FC_TotalInventory,FC_BookedInventory,FC_Oversold,FC_AvailableInventory,BC_TotalInventory,BC_BookedInventory,BC_Oversold,BC_AvailableInventory,PC_TotalInventory,PC_BookedInventory,PC_Oversold,PC_AvailableInventory,EC_TotalInventory,EC_BookedInventory,EC_Oversold,EC_AvailableInventory,FC_CD,BC_CD,PC_CD,EC_CD,DepartureDatetime,ArrivalDatetime,Status
INV-ZZ-1875559,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,300,144,-126,156,27,54,81,108,32,15,12,17,60,29,25,31,94,45,36,49,127,61,47,66,"{'F': 1, 'P': 16}","{'C': 10, 'J': 21, 'Z': 0}","{'Q': 32, 'R': 7, 'S': 5, 'T': 3, 'H': 1, 'M': 1}","{'Y': 9, 'A': 37, 'B': 7, 'D': 8, 'E': 1, 'G': 0, 'I': 4, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-05-25 04:37:00,2024-05-25 12:50:00,Cancelled
INV-ZZ-2847882,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,321,143,-127,178,27,54,81,108,32,14,13,18,60,27,27,33,94,42,39,52,123,55,53,68,"{'F': 13, 'P': 5}","{'C': 21, 'J': 12, 'Z': 0}","{'Q': 50, 'R': 1, 'S': 0, 'T': 0, 'H': 1, 'M': 0}","{'Y': 39, 'A': 15, 'B': 7, 'D': 3, 'E': 2, 'G': 2, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-05-26 04:37:00,2024-05-26 12:50:00,Cancelled
INV-ZZ-2048509,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,322,142,-128,180,27,54,81,108,31,14,13,17,61,27,27,34,96,42,39,54,127,56,52,71,"{'F': 1, 'P': 16}","{'C': 20, 'J': 13, 'Z': 1}","{'Q': 36, 'R': 15, 'S': 1, 'T': 1, 'H': 0, 'M': 1}","{'Y': 43, 'A': 26, 'B': 0, 'D': 1, 'E': 1, 'G': 0, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-01 04:37:00,2024-06-01 12:50:00,On Time
INV-ZZ-9629978,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,305,131,-139,174,27,54,81,108,32,14,13,18,63,27,27,36,89,38,43,51,129,56,52,73,"{'F': 8, 'P': 10}","{'C': 1, 'J': 0, 'Z': 35}","{'Q': 1, 'R': 44, 'S': 6, 'T': 0, 'H': 0, 'M': 0}","{'Y': 62, 'A': 0, 'B': 4, 'D': 0, 'E': 7, 'G': 0, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-02 04:37:00,2024-06-02 12:50:00,On Time
INV-ZZ-6952251,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,318,136,-134,182,27,54,81,108,31,13,14,18,61,26,28,35,97,41,40,56,123,52,56,71,"{'F': 17, 'P': 1}","{'C': 24, 'J': 6, 'Z': 5}","{'Q': 42, 'R': 13, 'S': 0, 'T': 0, 'H': 1, 'M': 0}","{'Y': 65, 'A': 4, 'B': 2, 'D': 0, 'E': 0, 'G': 0, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-08 04:37:00,2024-06-08 12:50:00,On Time
INV-ZZ-9701617,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,321,149,-121,172,27,54,81,108,31,14,13,17,62,29,25,33,90,42,39,48,121,56,52,65,"{'F': 14, 'P': 3}","{'C': 11, 'J': 22, 'Z': 0}","{'Q': 28, 'R': 18, 'S': 1, 'T': 0, 'H': 0, 'M': 1}","{'Y': 17, 'A': 5, 'B': 19, 'D': 20, 'E': 0, 'G': 4, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-09 04:37:00,2024-06-09 12:50:00,On Time
INV-ZZ-4703448,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,318,134,-136,184,27,54,81,108,32,13,14,19,64,27,27,37,90,38,43,52,125,53,55,72,"{'F': 5, 'P': 14}","{'C': 24, 'J': 13, 'Z': 0}","{'Q': 49, 'R': 2, 'S': 1, 'T': 0, 'H': 0, 'M': 0}","{'Y': 1, 'A': 54, 'B': 12, 'D': 2, 'E': 1, 'G': 0, 'I': 1, 'K': 0, 'L': 0, 'N': 1, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-15 04:37:00,2024-06-15 12:50:00,On Time
INV-ZZ-9289613,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,316,125,-145,191,27,54,81,108,30,12,15,18,64,25,29,39,96,38,43,58,125,50,58,75,"{'F': 7, 'P': 11}","{'C': 33, 'J': 6, 'Z': 0}","{'Q': 34, 'R': 11, 'S': 8, 'T': 4, 'H': 0, 'M': 1}","{'Y': 50, 'A': 22, 'B': 1, 'D': 1, 'E': 0, 'G': 0, 'I': 0, 'K': 0, 'L': 1, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-16 04:37:00,2024-06-16 12:50:00,On Time
INV-ZZ-3502758,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,316,124,-146,192,27,54,81,108,30,12,15,18,64,25,29,39,96,38,43,58,122,48,60,74,"{'F': 0, 'P': 18}","{'C': 36, 'J': 1, 'Z': 2}","{'Q': 58, 'R': 0, 'S': 0, 'T': 0, 'H': 0, 'M': 0}","{'Y': 40, 'A': 2, 'B': 30, 'D': 2, 'E': 0, 'G': 0, 'I': 0, 'K': 0, 'L': 0, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-22 04:37:00,2024-06-22 12:50:00,On Time
INV-ZZ-8851705,SCH-ZZ-7283355,3417,Boeing 787,CNN,MAA,270,304,126,-144,178,27,54,81,108,32,13,14,19,60,25,29,35,93,38,43,55,122,51,57,71,"{'F': 12, 'P': 7}","{'C': 6, 'J': 13, 'Z': 16}","{'Q': 11, 'R': 40, 'S': 0, 'T': 0, 'H': 4, 'M': 0}","{'Y': 43, 'A': 0, 'B': 6, 'D': 5, 'E': 11, 'G': 1, 'I': 3, 'K': 1, 'L': 1, 'N': 0, 'O': 0, 'U': 0, 'V': 0, 'W': 0, 'X': 0}",2024-06-23 04:37:00,2024-06-23 12:50:00,On Time
